epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,901.43,1.05856,1.03812,0.00347,0.82662,0.63416,0.74703,0.55899,1.11983,1.10138,0.00679,0.000538072,0.000538072,0.000538072
64,915.219,1.03096,0.98726,0.00345,0.80857,0.67736,0.75086,0.56356,1.06487,1.05075,0.00635,0.000514122,0.000514122,0.000514122
65,928.468,1.05747,0.96467,0.00356,0.79729,0.70109,0.76581,0.57315,1.07374,0.97698,0.00629,0.000490497,0.000490497,0.000490497
66,945.145,1.05016,0.97336,0.00356,0.79583,0.70274,0.76295,0.57196,1.06252,1.03875,0.00634,0.000467218,0.000467218,0.000467218
67,959.927,1.01045,0.96154,0.00363,0.85329,0.6565,0.76223,0.56416,1.10154,1.00114,0.00618,0.000444309,0.000444309,0.000444309
68,974.088,1.01162,0.95175,0.00346,0.88036,0.68605,0.78117,0.58741,1.0642,0.9387,0.00635,0.000421792,0.000421792,0.000421792
69,988.591,1.00769,0.97375,0.00341,0.84014,0.71857,0.79486,0.59531,1.05794,0.94514,0.0062,0.000399689,0.000399689,0.000399689
70,1001.42,1.01564,0.94226,0.00342,0.85849,0.70099,0.77675,0.5804,1.08625,0.95631,0.00654,0.000378023,0.000378023,0.000378023
71,1015.49,1.01298,0.94987,0.00334,0.81629,0.73832,0.78244,0.58544,1.05366,0.93871,0.0064,0.000356815,0.000356815,0.000356815
72,1027.92,1.00673,0.94841,0.00326,0.81903,0.72347,0.76701,0.58139,1.02771,1.02357,0.00605,0.000336086,0.000336086,0.000336086
73,1040.63,0.9896,0.92646,0.00346,0.8032,0.73775,0.79316,0.59922,1.03531,0.88166,0.0063,0.000315855,0.000315855,0.000315855
74,1054.57,1.00531,0.91658,0.00317,0.8242,0.69861,0.77163,0.58087,1.03665,0.99899,0.00627,0.000296144,0.000296144,0.000296144
75,1068.39,0.99975,0.9294,0.00338,0.82729,0.70856,0.78449,0.5905,1.03696,0.94528,0.00642,0.000276971,0.000276971,0.000276971
76,1081.92,0.98705,0.89361,0.00348,0.87538,0.70099,0.78856,0.60286,1.0182,0.92967,0.00615,0.000258355,0.000258355,0.000258355
77,1095.8,0.97646,0.88152,0.00321,0.83866,0.74882,0.80233,0.60501,1.05445,0.90174,0.00628,0.000240316,0.000240316,0.000240316
78,1108.97,0.99576,0.89257,0.00342,0.82637,0.74718,0.79819,0.60209,1.0508,0.8947,0.00626,0.00022287,0.00022287,0.00022287
79,1122.35,0.96522,0.86242,0.00321,0.83759,0.74089,0.78464,0.59743,1.02832,0.89853,0.00617,0.000206034,0.000206034,0.000206034
80,1133.5,0.96471,0.86311,0.00313,0.83654,0.73342,0.79609,0.60317,1.02375,0.89342,0.00612,0.000189827,0.000189827,0.000189827
81,1147.35,0.98645,0.89216,0.0035,0.8305,0.73725,0.78772,0.59283,1.02927,0.87014,0.00613,0.000174262,0.000174262,0.000174262
82,1158.81,0.92469,0.82903,0.00311,0.85547,0.72001,0.78639,0.58923,1.03082,0.89166,0.0062,0.000159357,0.000159357,0.000159357
83,1173.97,0.95507,0.89332,0.00325,0.86728,0.68565,0.77996,0.59049,1.01674,0.93924,0.00619,0.000145125,0.000145125,0.000145125
84,1186.64,0.99574,0.92916,0.00325,0.829,0.71109,0.77987,0.58381,1.0379,0.96083,0.00629,0.000131581,0.000131581,0.000131581
85,1200.81,0.94261,0.85063,0.00302,0.87663,0.70081,0.78938,0.59774,1.00694,0.92539,0.00608,0.000118737,0.000118737,0.000118737
86,1215.31,0.92348,0.82694,0.00302,0.8924,0.68963,0.78921,0.5914,1.02823,0.91256,0.00618,0.000106608,0.000106608,0.000106608
87,1228.38,0.91083,0.81472,0.00305,0.84937,0.71203,0.78912,0.59476,1.01738,0.89905,0.00617,9.52034e-05,9.52034e-05,9.52034e-05
88,1240.46,0.88857,0.77046,0.00317,0.83964,0.71851,0.78681,0.58848,1.02984,0.92304,0.00617,8.4536e-05,8.4536e-05,8.4536e-05
89,1255.3,0.96033,0.86789,0.0032,0.816,0.74513,0.78635,0.59505,1.0118,0.90611,0.00607,7.4616e-05,7.4616e-05,7.4616e-05
90,1267.97,0.93878,0.82513,0.00315,0.86574,0.72599,0.79788,0.60233,1.00441,0.86897,0.00604,6.54531e-05,6.54531e-05,6.54531e-05
91,1288.96,0.87415,0.80631,0.00343,0.81596,0.73584,0.78225,0.58495,1.02661,0.91136,0.00607,5.70564e-05,5.70564e-05,5.70564e-05
92,1302.93,0.83636,0.77577,0.00326,0.80349,0.74483,0.7795,0.5792,1.02904,0.90279,0.00615,4.94343e-05,4.94343e-05,4.94343e-05
93,1317.28,0.83525,0.7245,0.00324,0.80748,0.74746,0.78,0.58218,1.03394,0.90385,0.00622,4.25941e-05,4.25941e-05,4.25941e-05
94,1332.14,0.83344,0.76618,0.00321,0.81448,0.75391,0.78178,0.5836,1.03626,0.89662,0.00624,3.65426e-05,3.65426e-05,3.65426e-05
95,1344.51,0.84423,0.71343,0.00314,0.80912,0.74003,0.78198,0.58423,1.03541,0.91497,0.00627,3.12859e-05,3.12859e-05,3.12859e-05
96,1357.3,0.82329,0.72588,0.00314,0.79845,0.74599,0.78388,0.58489,1.03045,0.92154,0.00623,2.68292e-05,2.68292e-05,2.68292e-05
97,1370.92,0.82166,0.72231,0.00305,0.8073,0.73348,0.78184,0.58862,1.02969,0.91956,0.0062,2.31767e-05,2.31767e-05,2.31767e-05
98,1383.45,0.81793,0.727,0.00324,0.80976,0.74188,0.78167,0.58742,1.02568,0.9354,0.00619,2.03321e-05,2.03321e-05,2.03321e-05
99,1395.96,0.84072,0.73706,0.00324,0.80916,0.75469,0.78543,0.58822,1.03233,0.91817,0.0062,1.82983e-05,1.82983e-05,1.82983e-05
100,1409.67,0.82343,0.74926,0.00313,0.8175,0.7505,0.78467,0.58859,1.02902,0.91697,0.0062,1.70772e-05,1.70772e-05,1.70772e-05
